,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rolleston,0,0,0,,,0.0,0.0,0
1,Lincoln,1277,10530,4,43.0,29.685199686765856,21.283333333333335,10.53,4
2,Bush inn,1910,17999,43,39.0,33.9248167539267,53.11666666666667,28.529,47
3,Riccarton,223,2164,0,7.0,34.93452914798207,56.833333333333336,30.693,47
4,Addington,457,2774,7,5.0,21.852078774617066,64.45,33.467,54
5,The crossing,252,2457,2,7.0,35.1,68.65,35.924,56
6,The palms,508,4613,8,11.0,32.690551181102364,77.11666666666666,40.537,64
7,Sumner,1955,13503,32,33.0,24.86485933503836,109.7,54.04,96
8,Lyttelton,2017,9438,334,317.0,16.84521566683193,143.31666666666666,63.478,430
9,Beckenham,2437,12557,340,353.0,18.549528108329916,183.93333333333334,76.035,770
10,Merivale,662,5891,11,8.0,32.0356495468278,194.96666666666667,81.926,781
11,Northlink,357,2815,5,0.0,28.38655462184874,200.91666666666666,84.741,786
12,Redwood,344,2944,2,7.0,30.809302325581392,206.65,87.685,788
13,Kaiapoi,1379,12999,33,40.0,33.93502538071066,229.63333333333333,100.684,821
14,Rangiora,1367,11259,36,8.0,29.65062179956108,252.41666666666666,111.943,857
