,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rangiora,0,0,0,,,0.0,0.0,0
1,Kaiapoi,1358,11259,8,36.0,29.84712812960236,22.633333333333333,11.259,8
2,Redwood,1810,12999,40,33.0,25.85436464088398,52.8,24.258,48
3,The palms,828,6369,6,12.0,27.691304347826087,66.6,30.627,54
4,Merivale,699,4276,9,3.0,22.022317596566523,78.25,34.903,63
5,Northlink,401,2815,5,0.0,25.271820448877804,84.93333333333334,37.718,68
6,Rolleston,3669,25031,62,24.0,24.560261651676207,146.08333333333334,62.749,130
7,Lincoln,1262,10530,4,43.0,30.038034865293188,167.11666666666667,73.279,134
8,Bush inn,2383,17999,43,39.0,27.19110365086026,206.83333333333334,91.278,177
9,Riccarton,259,2164,0,7.0,30.07876447876448,211.15,93.442,177
10,Addington,404,2774,7,5.0,24.71881188118812,217.88333333333333,96.216,184
11,Beckenham,396,3034,2,7.0,27.581818181818182,224.48333333333332,99.25,186
12,The crossing,495,3807,5,5.0,27.687272727272727,232.73333333333332,103.057,191
13,Sumner,1761,13307,27,31.0,27.203407155025555,262.0833333333333,116.364,218
14,Lyttelton,1979,9438,334,317.0,17.16867104598282,295.06666666666666,125.802,552
