,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rolleston,0,0,0,,,0.0,0.0,0
1,Lincoln,1262,10530,4,43.0,30.038034865293188,21.033333333333335,10.53,4
2,Bush inn,2383,17999,43,39.0,27.19110365086026,60.75,28.529,47
3,Riccarton,259,2164,0,7.0,30.07876447876448,65.06666666666666,30.693,47
4,Addington,404,2774,7,5.0,24.71881188118812,71.8,33.467,54
5,The crossing,306,2457,2,7.0,28.905882352941177,76.9,35.924,56
6,The palms,624,4613,8,11.0,26.61346153846154,87.3,40.537,64
7,Sumner,1807,13503,32,33.0,26.901383508577755,117.41666666666667,54.04,96
8,Lyttelton,1979,9438,334,317.0,17.16867104598282,150.4,63.478,430
9,Beckenham,2323,12557,340,353.0,19.45983641842445,189.11666666666667,76.035,770
10,Merivale,793,5891,11,8.0,26.743505674653214,202.33333333333334,81.926,781
11,Northlink,401,2815,5,0.0,25.271820448877804,209.01666666666668,84.741,786
12,Redwood,397,2944,2,7.0,26.696221662468517,215.63333333333333,87.685,788
13,Kaiapoi,1713,12999,33,40.0,27.318388791593698,244.18333333333334,100.684,821
14,Rangiora,1553,11259,36,8.0,26.0994204764971,270.06666666666666,111.943,857
