,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rangiora,0,0,0,,,0.0,0.0,0
1,Kaiapoi,1106,11259,8,36.0,36.647739602169985,18.433333333333334,11.259,8
2,Redwood,1666,12999,40,33.0,28.0890756302521,46.2,24.258,48
3,Northlink,508,2944,7,2.0,20.862992125984253,54.666666666666664,27.202,55
4,Merivale,292,2815,0,5.0,34.705479452054796,59.53333333333333,30.017,55
5,The palms,495,4276,3,9.0,31.098181818181818,67.78333333333333,34.293,58
6,Sumner,1493,13503,32,33.0,32.559142665773614,92.66666666666667,47.796,90
7,Lyttelton,1990,9438,334,317.0,17.073768844221107,125.83333333333333,57.234,424
8,Beckenham,2675,12557,340,353.0,16.899140186915886,170.41666666666666,69.791,764
9,The crossing,623,3807,5,5.0,21.998715890850722,180.8,73.598,769
10,Addington,438,2457,7,2.0,20.194520547945206,188.1,76.055,776
11,Riccarton,577,2774,5,7.0,17.307452339688044,197.71666666666667,78.829,781
12,Bush inn,433,2164,7,0.0,17.991685912240186,204.93333333333334,80.993,788
13,Rolleston,3187,18970,52,17.0,21.428302478820207,258.05,99.963,840
14,Lincoln,1054,10530,4,43.0,35.96584440227704,275.6166666666667,110.493,844
