,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rangiora,0,0,0,,,0.0,0.0,0
1,Kaiapoi,1118,11259,8,36.0,36.254382826475855,18.633333333333333,11.259,8
2,Redwood,1507,12999,40,33.0,31.052687458526872,43.75,24.258,48
3,Northlink,452,2944,7,2.0,23.44778761061947,51.28333333333333,27.202,55
4,Merivale,294,2815,0,5.0,34.46938775510205,56.18333333333333,30.017,55
5,The palms,602,4276,3,9.0,25.57076411960133,66.21666666666667,34.293,58
6,Sumner,1586,13503,32,33.0,30.6499369482976,92.65,47.796,90
7,Lyttelton,1971,9438,334,317.0,17.238356164383564,125.5,57.234,424
8,Beckenham,2473,12557,340,353.0,18.279498584714922,166.71666666666667,69.791,764
9,Addington,588,3034,7,2.0,18.575510204081635,176.51666666666668,72.825,771
10,The crossing,362,2457,2,7.0,24.43425414364641,182.55,75.282,773
11,Riccarton,591,3565,7,4.0,21.715736040609137,192.4,78.847,780
12,Bush inn,346,2164,7,0.0,22.515606936416184,198.16666666666666,81.011,787
13,Rolleston,2545,18970,52,17.0,26.833791748526522,240.58333333333334,99.981,839
14,Lincoln,1088,10530,4,43.0,34.841911764705884,258.71666666666664,110.511,843
