,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rangiora,0,0,0,,,0.0,0.0,0
1,Kaiapoi,1358,11259,8,36.0,29.84712812960236,22.633333333333333,11.259,8
2,Redwood,1810,12999,40,33.0,25.85436464088398,52.8,24.258,48
3,Northlink,494,2944,7,2.0,21.45425101214575,61.03333333333333,27.202,55
4,Merivale,368,2815,0,5.0,27.53804347826087,67.16666666666667,30.017,55
5,The palms,567,4276,3,9.0,27.149206349206352,76.61666666666666,34.293,58
6,Sumner,1807,13503,32,33.0,26.901383508577755,106.73333333333333,47.796,90
7,Lyttelton,1979,9438,334,317.0,17.16867104598282,139.71666666666667,57.234,424
8,Beckenham,2323,12557,340,353.0,19.45983641842445,178.43333333333334,69.791,764
9,The crossing,495,3807,5,5.0,27.687272727272727,186.68333333333334,73.598,769
10,Addington,394,2457,7,2.0,22.4497461928934,193.25,76.055,776
11,Riccarton,469,2774,5,7.0,21.292963752665244,201.06666666666666,78.829,781
12,Bush inn,348,2164,7,0.0,22.386206896551723,206.86666666666667,80.993,788
13,Lincoln,2417,17999,39,43.0,26.808605709557305,247.15,98.992,827
14,Rolleston,1626,10530,43,4.0,23.313653136531368,274.25,109.522,870
