,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rolleston,0,0,0,,,0.0,0.0,0
1,Lincoln,1530,10530,4,43.0,24.776470588235295,25.5,10.53,4
2,Bush inn,1957,17999,43,39.0,33.11006642820644,58.11666666666667,28.529,47
3,Riccarton,259,2164,0,7.0,30.07876447876448,62.43333333333333,30.693,47
4,Addington,495,2774,7,5.0,20.174545454545456,70.68333333333334,33.467,54
5,The crossing,274,2457,2,7.0,32.28175182481752,75.25,35.924,56
6,The palms,538,4613,8,11.0,30.867657992565057,84.21666666666667,40.537,64
7,Sumner,2230,13503,32,33.0,21.798565022421524,121.38333333333334,54.04,96
8,Lyttelton,2005,9438,334,317.0,16.946034912718208,154.8,63.478,430
9,Beckenham,2278,12557,340,353.0,19.844249341527657,192.76666666666668,76.035,770
10,Merivale,620,5891,11,8.0,34.20580645161291,203.1,81.926,781
11,Northlink,316,2815,5,0.0,32.06962025316456,208.36666666666667,84.741,786
12,Redwood,363,2944,2,7.0,29.196694214876036,214.41666666666666,87.685,788
13,Kaiapoi,1393,12999,33,40.0,33.59396984924623,237.63333333333333,100.684,821
14,Rangiora,1224,11259,36,8.0,33.11470588235294,258.03333333333336,111.943,857
