,Location,Time (s),Distance (m),Elevation (m),Descent (m),Ave Speed (km/h),Cum. Time (min),Cum. Dist (km),Cum. Elev (m)
0,Rangiora,0,0,0,,,0.0,0.0,0
1,Kaiapoi,1186,11259,8,36.0,34.17571669477234,19.766666666666666,11.259,8
2,Redwood,2014,12999,40,33.0,23.23555114200596,53.333333333333336,24.258,48
3,Northlink,570,2944,7,2.0,18.593684210526316,62.833333333333336,27.202,55
4,Merivale,315,2815,0,5.0,32.17142857142857,68.08333333333333,30.017,55
5,The palms,461,4276,3,9.0,33.391757049891545,75.76666666666667,34.293,58
6,Sumner,1577,13503,32,33.0,30.824857324032973,102.05,47.796,90
7,Lyttelton,2011,9438,334,317.0,16.895474888115366,135.56666666666666,57.234,424
8,Beckenham,2685,12557,340,353.0,16.836201117318435,180.31666666666666,69.791,764
9,The crossing,515,3807,5,5.0,26.612038834951456,188.9,73.598,769
10,Addington,519,2457,7,2.0,17.042774566473987,197.55,76.055,776
11,Riccarton,556,2774,5,7.0,17.96115107913669,206.81666666666666,78.829,781
12,Bush inn,487,2164,7,0.0,15.99671457905544,214.93333333333334,80.993,788
13,Rolleston,3816,18970,52,17.0,17.89622641509434,278.53333333333336,99.963,840
14,Lincoln,1080,10530,4,43.0,35.1,296.53333333333336,110.493,844
